aliquot_uuid	aliquot_barcode
1cd8c21c-72a5-40df-9b65-3006bebdfa86	TCGA-63-A5MG-01A-12R-A27Q-07
eaf753de-dd57-49bf-b0ad-ffc019fdbef3	TCGA-56-A5DR-01A-11R-A27Q-07
1b4f8b52-3d0b-4ba4-b1b8-be045cd67f86	TCGA-34-A5IX-01A-12R-A27Q-07
425af988-b4b8-4476-ba67-8fc7148f4452	TCGA-33-A5GW-01A-11R-A27Q-07
81fd0745-ced7-4eab-adeb-0588634e1fae	TCGA-33-AASB-01A-11R-A405-07
92d92d33-6f95-4b8f-ad23-bb87d43773de	TCGA-RM-A68W-01A-11R-A35K-07
9e3a09b0-267d-4ea4-9180-1ffa3b1d8159	TCGA-LA-A7SW-01A-11R-A405-07
0bbc7ede-5022-4084-925c-d65baaf7abc2	TCGA-56-1622-01A-01D-1521-08
e9cb8877-8e83-46c0-93f0-ea20530c9400	TCGA-34-2600-01A-01D-0963-08
efe4d5dd-fffb-41df-ab86-be06cc16646f	TCGA-43-3394-01A-01D-1553-08
79eb7bba-f0d8-462c-add7-20a2fb7843e1	TCGA-60-2713-01A-01D-1522-08
649f2c20-5b50-40a8-a6fd-9a51f3d5b9df	TCGA-85-8277-01A-11D-2293-08
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	TCGA-92-8064-01A-11D-2244-08
d2ab2555-7288-47a4-a80c-bf62d65b67b8	TCGA-18-4721-01A-01D-1441-08
57cb9b37-a93a-4b21-bac5-e588e56612b4	TCGA-RW-A688-01A-11R-A35K-07
34881c6b-f59f-42c0-9f29-9c5c47262ae6	TCGA-18-3415-01A-01D-A320-08
706868b5-4920-433a-bea3-92e9bf83059b	TCGA-66-2744-01A-01D-A320-08
b7a7d93b-38a7-4fc3-a433-3bb0a8cb7c42	TCGA-96-7545-01A-21D-A320-08
0e2dd8aa-7b45-4e26-ba3c-1a202fcb6be3	TCGA-66-2757-01A-01D-1180-08
78ed13d4-1578-46b8-81fa-b4395643691d	TCGA-56-7582-01A-11R-2045-07
fffdafae-fae0-4ae9-8fd2-3c2bedd156e1	TCGA-77-7140-01A-41R-2045-07
91ec8922-93e2-4e55-ae26-db5e4a71b953	TCGA-QT-A5XN-01A-11R-A35K-07
